resourceName;рус
test;Тест
test0;Тест0
test1;Тест1
test2;Тест2
preamble0;Жил, был
preamble1;не очень.
preamble2;Но всё равно хорошо
preamble3;Ок
yes;Да
no;Нет
want preamble;Вы хотите прочитать предысторию?
game name;Лесной Демон
start game;Начать игру
continue game;Продолжить
exit game;Выйти из игры
developer vk;Разработчик во Вконтакте - https://vk.com/id217001904
what do you want to do in this village for now;Чем желаете сейчас заняться в этой деревне?
walk in forest;Погулять по лесу
go to stepan shop;Зайти в лавку Степана
check ivan statistics;Посмотреть статистику Ивана
go to pankrat the healer;Сходить к лекарю Панкрату
save game;Сохранить игру
max health;Максимальное здоровье
current health;Текущее здоровье
damage;Урон
defense;Защита
necklet;Ожерелье
punishment;Кара
money;Монеты
healing potion count;Количество лечебных зелий
ivan hands;Ивановы руки
ivan rags;Ивановское тряпьё
not exist;Нет
weak miss;Еле размахнувшись, Иван ударил, да и то не попал
weak weak;Еле размахнувшись, Иван ударил и совсем немного задел врага
weak normal;Еле размахнувшись, Иван ударил врага
weak strong;Еле размахнувшись, Иван ударил врага, это был весьма сильный удар
normal miss;Размахнувшись, Иван ударил, но по врагу так и не попал
normal weak;Размахнувшись, Иван ударил, и еле задел врага
normal normal;Размахнувшись, Иван ударил врага
normal strong;Размахнувшись, Иван ударил, попадание было точным
strong miss;Сильно размахнувшись, Иван ударил, но промахнулся по врагу
strong strong;Сильно размахнувшись, Иван ударил, попал удачно